R,G,B
164,98,52
159,90,64
164,89,34
156,98,58
143,87,31
161,100,47
157,86,46
160,102,54
125,74,43
136,79,47
149,68,39
145,80,58
138,73,53
144,83,52
146,70,44
153,76,50
140,60,37
134,56,50
145,65,41
139,61,38
134,33,39
115,39,45
157,57,42
111,38,45
137,34,38
134,61,28
133,62,29
111,42,47
128,35,29
127,40,30
99,42,33
112,32,33
110,35,30
105,25,26
109,28,27
111,30,29
113,27,26
115,31,29
119,34,31
114,32,31
159,83,57
144,64,75
150,68,81
167,94,53
176,86,60
144,69,46
160,88,49
149,68,49
126,53,60
147,71,37
158,67,62
150,61,45
167,69,60
143,56,47
135,49,39
149,58,53
136,53,45
147,57,46
145,55,47
157,65,52
140,52,48
131,57,25
145,62,56
127,68,35
144,60,53
138,49,43
138,61,37
142,66,27
143,63,40
134,46,44
147,69,57
151,72,56
132,63,34
139,61,58
143,67,43
129,54,51
130,63,34
127,58,51
134,63,58
131,61,36
121,60,68
102,49,54
133,52,49
131,57,54
114,61,74
139,61,57
123,45,43
129,48,47
137,57,56
131,60,56
168,63,59
167,64,57
161,66,60
127,50,58
163,64,59
169,69,64
105,42,45
134,46,46
142,52,52
134,49,54
133,31,52
131,30,48
131,34,53
118,35,51
104,32,46
106,38,42
129,32,51
113,41,44
132,31,51
124,30,49
121,37,37
120,34,34
124,38,37
117,62,31
112,63,33
123,62,34
112,63,33
119,62,33
120,53,27
127,63,38
187,98,84
183,80,85
123,32,22
125,30,23
129,29,21
189,89,91
170,59,44
76,18,14
79,17,14
88,25,20
144,85,27
135,71,41
138,79,39
114,47,29
120,58,16
125,58,15
125,57,35
128,67,49
132,61,10
132,60,10
152,82,23
151,76,24
152,74,24
149,82,1
153,87,3
147,88,28
152,83,10
158,89,32
151,87,16
152,84,0
118,28,30
121,31,22
97,31,33
121,27,17
124,28,15
107,35,35
127,32,18
107,29,29
128,32,18
126,32,17
118,37,16
115,34,33
114,54,32
128,38,24
133,48,27
100,48,24
112,47,25
119,31,19
98,35,18
131,42,38
198,67,61
206,67,48
207,82,65
191,55,51
200,82,70
187,66,68
203,67,45
208,65,46
189,77,73
185,64,69
